county,year,sex,age_band,population
Kirinyaga,2021,f,55,19626.0
Kirinyaga,2021,f,60,11633.0
Kirinyaga,2021,f,65,8793.0
Kirinyaga,2021,f,70,6396.0
Kirinyaga,2021,f,75,4038.0
Kirinyaga,2021,f,80,3239.0
Kirinyaga,2021,f,85,2298.0
Kirinyaga,2021,f,90,1492.0
Kirinyaga,2021,m,00,8874.0
Kirinyaga,2021,m,01,34769.0
Kirinyaga,2021,m,05,41474.0
Kirinyaga,2021,m,10,43259.0
Kirinyaga,2021,m,15,43435.0
Kirinyaga,2021,m,20,35071.0
Kirinyaga,2021,m,25,30540.0
Kirinyaga,2021,m,30,35942.0
Kirinyaga,2021,m,35,39210.0
Kirinyaga,2021,m,40,32584.0
Kirinyaga,2021,m,45,27801.0
Kirinyaga,2021,m,50,24922.0
Kirinyaga,2021,m,55,19070.0
Kirinyaga,2021,m,60,11217.0
Kirinyaga,2021,m,65,7536.0
Kirinyaga,2021,m,70,5017.0
Kirinyaga,2021,m,75,2617.0
Kirinyaga,2021,m,80,1450.0
Kirinyaga,2021,m,85,809.0
Kirinyaga,2021,m,90,495.0
Kisii,2021,f,00,15119.0
Kisii,2021,f,01,59278.0
Kisii,2021,f,05,85372.0
Kisii,2021,f,10,95071.0
Kisii,2021,f,15,78410.0
Kisii,2021,f,20,55891.0
Kisii,2021,f,25,50518.0
Kisii,2021,f,30,50615.0
Kisii,2021,f,35,33360.0
Kisii,2021,f,40,28007.0
Kisii,2021,f,45,28131.0
Kisii,2021,f,50,17241.0
Kisii,2021,f,55,20976.0
Kisii,2021,f,60,15643.0
Kisii,2021,f,65,9654.0
Kisii,2021,f,70,5866.0
Kisii,2021,f,75,3625.0
Kisii,2021,f,80,2533.0
Kisii,2021,f,85,1527.0
Kisii,2021,f,90,1022.0
Kisii,2021,m,00,15239.0
Kisii,2021,m,01,59706.0
Kisii,2021,m,05,85675.0
Kisii,2021,m,10,94390.0
Kisii,2021,m,15,75334.0
Kisii,2021,m,20,47856.0
Kisii,2021,m,25,40237.0
Kisii,2021,m,30,40029.0
Kisii,2021,m,35,33131.0
Kisii,2021,m,40,27413.0
Kisii,2021,m,45,22056.0
Kisii,2021,m,50,16840.0
Kisii,2021,m,55,18230.0
Kisii,2021,m,60,12880.0
Kisii,2021,m,65,7562.0
Kisii,2021,m,70,4964.0
Kisii,2021,m,75,2635.0
Kisii,2021,m,80,1408.0
Kisii,2021,m,85,766.0
Kisii,2021,m,90,489.0
Kisumu,2021,f,00,16257.0
Kisumu,2021,f,01,63741.0
Kisumu,2021,f,05,80360.0
Kisumu,2021,f,10,87995.0
Kisumu,2021,f,15,78055.0
Kisumu,2021,f,20,65669.0
Kisumu,2021,f,25,55245.0
Kisumu,2021,f,30,48325.0
Kisumu,2021,f,35,34651.0
Kisumu,2021,f,40,26757.0
Kisumu,2021,f,45,19381.0
Kisumu,2021,f,50,18294.0
Kisumu,2021,f,55,15820.0
Kisumu,2021,f,60,12499.0
Kisumu,2021,f,65,8415.0
Kisumu,2021,f,70,5327.0
Kisumu,2021,f,75,3620.0
Kisumu,2021,f,80,2234.0
Kisumu,2021,f,85,1074.0
Kisumu,2021,f,90,619.0
Kisumu,2021,m,00,16217.0
Kisumu,2021,m,01,63537.0
Kisumu,2021,m,05,80362.0
Kisumu,2021,m,10,85732.0
Kisumu,2021,m,15,72452.0
Kisumu,2021,m,20,57690.0
Kisumu,2021,m,25,49215.0
Kisumu,2021,m,30,46735.0
Kisumu,2021,m,35,39767.0
Kisumu,2021,m,40,29886.0
Kisumu,2021,m,45,20392.0
Kisumu,2021,m,50,15750.0
Kisumu,2021,m,55,12543.0
Kisumu,2021,m,60,9481.0
Kisumu,2021,m,65,6341.0
Kisumu,2021,m,70,4401.0
Kisumu,2021,m,75,2233.0
Kisumu,2021,m,80,1093.0
Kisumu,2021,m,85,555.0
Kisumu,2021,m,90,334.0
Kitui,2021,f,00,13453.0
Kitui,2021,f,01,52745.0
Kitui,2021,f,05,72641.0
Kitui,2021,f,10,85654.0
Kitui,2021,f,15,77909.0
Kitui,2021,f,20,45768.0
Kitui,2021,f,25,35803.0
Kitui,2021,f,30,36477.0
Kitui,2021,f,35,33959.0
Kitui,2021,f,40,29263.0
Kitui,2021,f,45,28052.0
Kitui,2021,f,50,21618.0
Kitui,2021,f,55,16687.0
Kitui,2021,f,60,13043.0
Kitui,2021,f,65,10414.0
Kitui,2021,f,70,8214.0
Kitui,2021,f,75,5025.0
Kitui,2021,f,80,3613.0
Kitui,2021,f,85,2526.0
Kitui,2021,f,90,1949.0
Kitui,2021,m,00,13743.0
Kitui,2021,m,01,53844.0
Kitui,2021,m,05,74353.0
Kitui,2021,m,10,86449.0
Kitui,2021,m,15,78818.0
Kitui,2021,m,20,45789.0
Kitui,2021,m,25,32448.0
Kitui,2021,m,30,31559.0
Kitui,2021,m,35,28798.0
Kitui,2021,m,40,24853.0
Kitui,2021,m,45,22769.0
